# backbone-neck-phi,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
mv-gdf-S0,53477.02009964479,52151.58308599668,1327.0211967520645,1744308.419775635,1701026.0522555113,43282.367520123604,2002143200.0,2457989.0
mv-cdf-S0,57831.29456440896,54326.621708773666,3507.233210520532,2158284.9774312456,2027398.2928794622,130886.6845517832,3319013600.0,2496997.0
ef-gdf-S0,59570.75384927136,53956.663898546285,5617.073443661234,1934074.8457558244,1751712.531210184,182362.31454564014,2161840000.0,4445573.0
ef-cdf-S0,63782.78565391733,55953.65913521429,7833.697307956199,2362592.739864784,2072431.4301681519,290161.30969663215,3478710400.0,4484581.0
en-gdf-S0,60160.27709271554,50233.7519651454,9930.019609777102,1967265.3183677446,1642564.2025647163,324701.1158030283,1829294800.0,2511773.0
en-cdf-S0,64485.00831877157,52404.379364165296,12083.639498197073,2405358.054946119,1954648.8638541698,450709.1910919491,3146165200.0,2550781.0
ev-gdf-S0,69379.87753259492,55214.588382799506,14167.78420168351,2048041.447787907,1629834.36325562,418207.0845322869,1897452800.0,2760965.0
ev-cdf-S0,74978.47057519991,58618.15693698734,16365.914070223887,2558225.400374401,1999854.6887944937,558370.7115799072,3214323200.0,2799973.0
rv-gdf-S0,76544.35911577061,58248.37510626104,18302.67185552467,2143119.29020028,1630696.2927839756,512422.99741630425,1847843200.0,2340517.0
rv-cdf-S0,79056.73308686516,58791.1306347543,20267.625970385798,2572735.761748354,1913191.9095484018,659543.8521999519,3164713600.0,2379525.0
pf-gdf-S0,79084.85865117634,56951.32369832356,22136.276515138627,2221290.299461847,1599569.038322091,621721.2611397561,1816419200.0,2413237.0
pf-cdf-S0,82944.3490719349,58845.834108937546,24101.495720381543,2711564.148699249,1923673.5472745895,787890.6014246598,3133289600.0,2452245.0
mv-gdf-S1,-177063.4285118689,58692.52645369485,-235758.43814281732,-6708292.075833758,2223554.175896883,-8931846.251730641,2649108856.0,3653057.0
mv-cdf-S1,-174298.64993621496,58851.98596325664,-233153.73258908646,-7392414.213037387,2495828.274715066,-9888242.487752452,3966598456.0,3693757.0
ef-gdf-S1,-171904.4839686511,58790.35092670431,-230698.33405143555,-6385257.786146805,2183588.4504725933,-8568846.236619398,2727932056.0,7053281.0
ef-cdf-S1,-169410.20133252637,58739.15649751563,-228154.12106104766,-7069906.756684747,2451256.2286803722,-9521162.985365119,4045421656.0,7093981.0
en-gdf-S1,-169410.24855203377,56429.97213248103,-225847.0435158187,-5959610.414018186,1985104.8460367918,-7944715.260054978,2281526456.0,4156513.0
en-cdf-S1,-165214.75473385188,58336.059457576855,-223556.2297735761,-6556490.140540127,2314993.441500187,-8871483.582040314,3599016056.0,4197213.0
ev-gdf-S1,-162905.771557585,58517.39696673626,-221429.34574983534,-4852236.741445095,1742838.6314210892,-6595075.372866184,2038217656.0,3128977.0
ev-cdf-S1,-160489.81033903867,58736.986953766616,-219229.13630916327,-5512809.7026032135,2017485.6232665777,-7530295.325869791,3355707256.0,3169677.0
rv-gdf-S1,-158793.5430696857,58464.42871309006,-217266.66323372748,-4556435.365812658,1677514.086888194,-6233949.452700852,1985386872.0,2945657.0
rv-cdf-S1,-156435.2523004494,58810.374053562315,-215252.7609769943,-5198521.1947660595,1954294.544476986,-7152815.739243045,3302876472.0,2986357.0
pf-gdf-S1,-156202.3637563703,56831.138370494074,-213040.1614298962,-5503966.758254116,2002431.7404192686,-7506398.498673385,2505772056.0,4744393.0
pf-cdf-S1,-152050.34452933748,58552.95661608585,-210612.52205180778,-6043720.861208842,2327345.310401678,-8371066.17161052,3823261656.0,4785093.0
mv-gdf-S2,-149183.90084117872,58820.50020176005,-208007.54519376307,-6231062.8956602495,2456753.6698902845,-8687816.565550534,3530763408.0,6193371.0
mv-cdf-S2,-146386.37392253574,58757.28527135348,-205145.5647832363,-6796622.360473979,2727969.188154459,-9524591.548628438,4952129808.0,6252651.0
ef-gdf-S2,-143361.24668601397,58772.59256765879,-202138.8599024733,-6866962.679770399,2815097.8782548904,-9682060.55802529,4047951408.0,13645307.0
ef-cdf-S2,-140225.60169229106,58679.102581523475,-198909.4759320718,-7372343.229627887,3084874.8445432186,-10457218.074171105,5469317808.0,13704587.0
en-gdf-S2,-137743.12564757807,58590.89782014384,-196335.15565219594,-4929486.33240361,2096731.5512936115,-7026217.883697222,2758197008.0,5905211.0
en-cdf-S2,-135170.0735196677,58811.92653641708,-193978.397155667,-5479541.760707548,2383870.8611786366,-7863412.621886184,4179563408.0,5964491.0
ev-gdf-S2,-132723.60940406716,58731.759752433994,-191460.39673864248,-4889325.6508344915,2163528.488949299,-7052854.13978379,3064119408.0,7295979.0
ev-cdf-S2,-130063.83093595656,58647.81489370359,-188714.1726625277,-5399535.330873711,2434580.4622194767,-7834115.793093188,4485485808.0,7355259.0
rv-gdf-S2,-127717.0382772167,58622.01773598418,-186339.10796907794,-4356136.023836486,1999366.027917266,-6355502.051753752,2645629680.0,4589467.0
rv-cdf-S2,-125292.31226922921,58715.119554488585,-184010.56901978608,-4855829.038795812,2275429.907575965,-7131258.946371777,4066996080.0,4648747.0
pf-gdf-S2,-124104.16561441938,57205.05222946998,-181317.76704393936,-5623022.504317368,2591848.652715206,-8214871.1570325745,3809893808.0,9241019.0
pf-cdf-S2,-119722.19715537528,58572.97135516052,-178297.77566346407,-5977666.77206468,2924491.137822032,-8902157.909886712,5231260208.0,9300299.0
